location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,population,population_density
Colombia,2020-09-10,694664.0,7813.0,7.584.286,22275.0,222.0,236.714,13.550.231,152.402,147.94,434.5,4.33,4.617,0.89,51265841.0,44.223
Colombia,2020-09-11,702088.0,7424.0,7.432.143,22518.0,243.0,232.857,13.695.045,144.814,144.973,439.24,4.74,4.542,0.9,51265841.0,44.223
Colombia,2020-09-12,708964.0,6876.0,7.215.429,22734.0,216.0,225.429,13.829.169,134.124,140.745,443.453,4.213,4.397,0.9,51265841.0,44.223
Colombia,2020-09-13,716319.0,7355.0,7114.0,22924.0,190.0,216.0,13.972.637,143.468,138.767,447.159,3.706,4.213,0.91,51265841.0,44.223
Colombia,2020-09-14,721892.0,5573.0,7.149.143,23123.0,199.0,215.429,14.081.345,108.708,139.452,451.041,3.882,4.202,0.91,51265841.0,44.223
Colombia,2020-09-15,728590.0,6698.0,7011.0,23288.0,165.0,210.143,14.211.997,130.652,136.758,454.26,3.219,4.099,0.92,51265841.0,44.223
Colombia,2020-09-16,736377.0,7787.0,7.075.143,23478.0,190.0,203.571,14.363.892,151.895,138.009,457.966,3.706,3.971,0.93,51265841.0,44.223
Colombia,2020-09-17,743945.0,7568.0,7.040.143,23665.0,187.0,198.571,14.511.515,147.623,137.326,461.613,3.648,3.873,0.94,51265841.0,44.223
Colombia,2020-09-18,750471.0,6526.0,6.911.857,23665.0,0.0,163.857,14.638.812,127.297,134.824,461.613,0.0,3.196,0.94,51265841.0,44.223
Colombia,2020-09-19,758398.0,7927.0,7062.0,24039.0,374.0,186.429,14.793.437,154.625,137.753,468.909,7.295,3.637,0.94,51265841.0,44.223
Colombia,2020-09-20,765076.0,6678.0,6.965.286,24208.0,169.0,183.429,14.923.699,130.262,135.866,472.205,3.297,3.578,0.94,51265841.0,44.223
Colombia,2020-09-21,770435.0,5359.0,6.934.714,24397.0,189.0,182.0,15.028.233,104.534,135.27,475.892,3.687,3.55,0.95,51265841.0,44.223
Colombia,2020-09-22,777537.0,7102.0,6.992.429,24397.0,0.0,158.429,15.166.766,138.533,136.395,475.892,0.0,3.09,0.95,51265841.0,44.223
Colombia,2020-09-23,784268.0,6731.0,6.841.571,24746.0,349.0,181.143,15.298.062,131.296,133.453,482.7,6.808,3.533,0.95,51265841.0,44.223
Colombia,2020-09-24,790823.0,6555.0,6.696.857,24746.0,0.0,154.429,15.425.925,127.863,130.63,482.7,0.0,3.012,0.96,51265841.0,44.223
Colombia,2020-09-25,798317.0,7494.0,6.835.143,25103.0,357.0,205.429,15.572.104,146.179,133.327,489.663,6.964,4.007,0.96,51265841.0,44.223
Colombia,2020-09-26,806038.0,7721.0,6.805.714,25296.0,193.0,179.571,15.722.711,150.607,132.753,493.428,3.765,3.503,0.96,51265841.0,44.223
Colombia,2020-09-27,813056.0,7018.0,6.854.286,25488.0,192.0,182.857,15.859.605,136.894,133.701,497.173,3.745,3.567,0.95,51265841.0,44.223
Colombia,2020-09-28,818203.0,5147.0,6824.0,25641.0,153.0,177.714,15.960.003,100.398,133.11,500.158,2.984,3.467,0.95,51265841.0,44.223
Colombia,2020-09-29,824042.0,5839.0,6.643.571,25828.0,187.0,204.429,16073.9,113.897,129.591,503.805,3.648,3.988,0.94,51265841.0,44.223
Colombia,2020-09-30,829679.0,5637.0,6.487.286,25998.0,170.0,178.857,16.183.856,109.956,126.542,507.121,3.316,3.489,0.95,51265841.0,44.223
Colombia,2020-10-01,835339.0,5660.0,6.359.429,26196.0,198.0,207.143,16.294.261,110.405,124.048,510.984,3.862,4.041,0.96,51265841.0,44.223
Colombia,2020-10-02,841532.0,6193.0,6.173.571,26397.0,201.0,184.857,16.415.063,120.802,120.423,514.904,3.921,3.606,0.98,51265841.0,44.223
Colombia,2020-10-03,848147.0,6615.0,6.015.571,26556.0,159.0,180.0,16.544.096,129.033,117.341,518.006,3.101,3.511,1.01,51265841.0,44.223
Colombia,2020-10-04,855052.0,6905.0,5.999.429,26712.0,156.0,174.857,16.678.786,134.69,117.026,521.049,3.043,3.411,1.04,51265841.0,44.223
Colombia,2020-10-05,862158.0,7106.0,6.279.286,26844.0,132.0,171.857,16.817.397,138.611,122.485,523.624,2.575,3.352,1.07,51265841.0,44.223
Colombia,2020-10-06,869808.0,7650.0,6538.0,27017.0,173.0,169.857,16.966.619,149.222,127.531,526.998,3.375,3.313,1.08,51265841.0,44.223
Colombia,2020-10-07,877684.0,7876.0,6.857.857,27180.0,163.0,168.857,17120.25,153.631,133.77,530.178,3.18,3.294,1.09,51265841.0,44.223
Colombia,2020-10-08,886179.0,8495.0,7.262.857,27180.0,0.0,140.571,17.285.955,165.705,141.67,530.178,0.0,2.742,1.08,51265841.0,44.223
Colombia,2020-10-09,894300.0,8121.0,7.538.286,27495.0,315.0,156.857,17.444.364,158.41,147.043,536.322,6.144,3.06,1.08,51265841.0,44.223
Colombia,2020-10-10,902747.0,8447.0,7800.0,27660.0,165.0,157.714,17.609.133,164.769,152.148,539.541,3.219,3.076,1.07,51265841.0,44.223
Colombia,2020-10-11,911316.0,8569.0,8.037.714,27834.0,174.0,160.286,17.776.281,167.148,156.785,542.935,3.394,3.127,1.05,51265841.0,44.223
Colombia,2020-10-12,919084.0,7768.0,8.132.286,27985.0,151.0,163.0,17.927.805,151.524,158.63,545.88,2.945,3.18,1.03,51265841.0,44.223
Colombia,2020-10-13,924098.0,5014.0,7.755.714,28141.0,156.0,160.571,18.025.609,97.804,151.284,548.923,3.043,3.132,1.01,51265841.0,44.223
Colombia,2020-10-14,930159.0,6061.0,7.496.429,28306.0,165.0,160.857,18.143.836,118.227,146.227,552.142,3.219,3.138,1.0,51265841.0,44.223
Colombia,2020-10-15,936982.0,6823.0,7.257.571,28457.0,151.0,182.429,18.276.926,133.091,141.567,555.087,2.945,3.558,1.0,51265841.0,44.223
Colombia,2020-10-16,945354.0,8372.0,7.293.429,28616.0,159.0,160.143,18.440.232,163.306,142.267,558.188,3.101,3.124,1.01,51265841.0,44.223
Colombia,2020-10-17,952371.0,7017.0,7.089.143,28803.0,187.0,163.286,18.577.107,136.875,138.282,561.836,3.648,3.185,1.02,51265841.0,44.223
Colombia,2020-10-18,959572.0,7201.0,6.893.714,28970.0,167.0,162.286,18.717.571,140.464,134.47,565.094,3.258,3.166,1.03,51265841.0,44.223
Colombia,2020-10-19,965883.0,6311.0,6.685.571,29102.0,132.0,159.571,18.840.674,123.103,130.41,567.668,2.575,3.113,1.05,51265841.0,44.223
Colombia,2020-10-20,974139.0,8256.0,7.148.714,29272.0,170.0,161.571,19.001.717,161.043,139.444,570.984,3.316,3.152,1.07,51265841.0,44.223
Colombia,2020-10-21,981700.0,7561.0,7363.0,29464.0,192.0,165.429,19.149.203,147.486,143.624,574.73,3.745,3.227,1.08,51265841.0,44.223
Colombia,2020-10-22,990373.0,8673.0,7.627.286,29637.0,173.0,168.571,19318.38,169.177,148.779,578.104,3.375,3.288,1.08,51265841.0,44.223
Colombia,2020-10-23,998942.0,8569.0,7.655.429,29802.0,165.0,169.429,19.485.528,167.148,149.328,581.323,3.219,3.305,1.09,51265841.0,44.223
Colombia,2020-10-24,1007711.0,8769.0,7.905.714,30000.0,198.0,171.0,19.656.578,171.05,154.21,585.185,3.862,3.336,1.1,51265841.0,44.223
Colombia,2020-10-25,1015885.0,8174.0,8.044.714,30154.0,154.0,169.143,19.816.021,159.443,156.922,588.189,3.004,3.299,1.1,51265841.0,44.223
Colombia,2020-10-26,1025052.0,9167.0,8.452.714,30348.0,194.0,178.0,19.994.834,178.813,164.88,591.973,3.784,3.472,1.11,51265841.0,44.223
Colombia,2020-10-27,1033218.0,8166.0,8.439.857,30565.0,217.0,184.714,20.154.122,159.287,164.629,596.206,4.233,3.603,1.11,51265841.0,44.223
Colombia,2020-10-28,1041935.0,8717.0,8605.0,30753.0,188.0,184.143,20.324.157,170.035,167.851,599.873,3.667,3.592,1.11,51265841.0,44.223
Colombia,2020-10-29,1053122.0,11187.0,8.964.143,30926.0,173.0,184.143,20.542.372,218.215,174.856,603.248,3.375,3.592,1.11,51265841.0,44.223
Colombia,2020-10-30,1063151.0,10029.0,9.172.714,31135.0,209.0,190.429,20738.0,195.627,178.924,607.324,4.077,3.715,1.1,51265841.0,44.223
Colombia,2020-10-31,1074184.0,11033.0,9.496.143,31314.0,179.0,187.714,20.953.211,215.212,185.233,610.816,3.492,3.662,1.08,51265841.0,44.223
Colombia,2020-11-01,1083321.0,9137.0,9.633.714,31515.0,201.0,194.429,21.131.439,178.228,187.917,614.737,3.921,3.793,1.06,51265841.0,44.223
Colombia,2020-11-02,1093256.0,9935.0,9.743.429,31653.0,138.0,186.429,21.325.233,193.794,190.057,617.429,2.692,3.637,1.04,51265841.0,44.223
Colombia,2020-11-03,1099392.0,6136.0,9.453.429,31847.0,194.0,183.143,21.444.923,119.69,184.4,621.213,3.784,3.572,1.01,51265841.0,44.223
Colombia,2020-11-04,1108086.0,8694.0,9.450.143,32013.0,166.0,180.0,21.614.509,169.587,184.336,624.451,3.238,3.511,1.0,51265841.0,44.223
Colombia,2020-11-05,1117977.0,9891.0,9265.0,32209.0,196.0,183.286,21.807.445,192.935,180.725,628.274,3.823,3.575,0.98,51265841.0,44.223
Colombia,2020-11-06,1127733.0,9756.0,9226.0,32405.0,196.0,181.429,21.997.747,190.302,179.964,632.097,3.823,3.539,0.97,51265841.0,44.223
Colombia,2020-11-07,1136447.0,8714.0,8.894.714,32595.0,190.0,183.0,22.167.724,169.977,173.502,635.803,3.706,3.57,0.95,51265841.0,44.223
Colombia,2020-11-08,1143887.0,7440.0,8.652.286,32791.0,196.0,182.286,22312.85,145.126,168.773,639.627,3.823,3.556,0.94,51265841.0,44.223
Colombia,2020-11-09,1149064.0,5177.0,7.972.571,32974.0,183.0,188.714,22.413.833,100.983,155.514,643.196,3.57,3.681,0.94,51265841.0,44.223
Colombia,2020-11-10,1155356.0,6292.0,7.994.857,33128.0,154.0,183.0,22.536.566,122.733,155.949,646.2,3.004,3.57,0.95,51265841.0,44.223
Colombia,2020-11-11,1165326.0,9970.0,8.177.143,33312.0,184.0,185.571,22.731.042,194.476,159.505,649.789,3.589,3.62,0.96,51265841.0,44.223
Colombia,2020-11-12,1174012.0,8686.0,8005.0,33491.0,179.0,183.143,22.900.473,169.431,156.147,653.281,3.492,3.572,0.96,51265841.0,44.223
Colombia,2020-11-13,1182697.0,8685.0,7852.0,33669.0,178.0,180.571,23.069.884,169.411,153.162,656.753,3.472,3.522,0.95,51265841.0,44.223
Colombia,2020-11-14,1191634.0,8937.0,7.883.857,33829.0,160.0,176.286,23.244.211,174.327,153.784,659.874,3.121,3.439,0.95,51265841.0,44.223
Colombia,2020-11-15,1198746.0,7112.0,7837.0,34031.0,202.0,177.143,23.382.938,138.728,152.87,663.814,3.94,3.455,0.94,51265841.0,44.223
Colombia,2020-11-16,1205217.0,6471.0,8.021.857,34223.0,192.0,178.429,23.509.163,126.224,156.476,667.56,3.745,3.48,0.94,51265841.0,44.223
Colombia,2020-11-17,1211128.0,5911.0,7.967.429,34381.0,158.0,179.0,23.624.464,115.301,155.414,670.641,3.082,3.492,0.93,51265841.0,44.223
Colombia,2020-11-18,1218003.0,6875.0,7.525.286,34563.0,182.0,178.714,23.758.569,134.105,146.789,674.192,3.55,3.486,0.94,51265841.0,44.223
Colombia,2020-11-19,1225490.0,7487.0,7354.0,34761.0,198.0,181.429,23.904.611,146.043,143.448,678.054,3.862,3.539,0.95,51265841.0,44.223
Colombia,2020-11-20,1233444.0,7954.0,7.249.571,34929.0,168.0,180.0,24.059.763,155.152,141.411,681.331,3.277,3.511,0.96,51265841.0,44.223
Colombia,2020-11-21,1240493.0,7049.0,6.979.857,35104.0,175.0,182.143,24.197.262,137.499,136.15,684.744,3.414,3.553,0.98,51265841.0,44.223
Colombia,2020-11-22,1248417.0,7924.0,7.095.857,35287.0,183.0,179.429,24.351.829,154.567,138.413,688.314,3.57,3.5,1.01,51265841.0,44.223
Colombia,2020-11-23,1254979.0,6562.0,7.108.857,35479.0,192.0,179.429,24.479.829,127.999,138.667,692.059,3.745,3.5,1.03,51265841.0,44.223
Colombia,2020-11-24,1262494.0,7515.0,7338.0,35677.0,198.0,185.143,24.626.417,146.589,143.136,695.921,3.862,3.611,1.04,51265841.0,44.223
Colombia,2020-11-25,1270991.0,8497.0,7.569.714,35860.0,183.0,185.286,24.792.161,165.744,147.656,699.491,3.57,3.614,1.06,51265841.0,44.223
Colombia,2020-11-26,1280487.0,9496.0,7.856.714,36019.0,159.0,179.714,24.977.392,185.231,153.254,702.593,3.101,3.506,1.07,51265841.0,44.223
Colombia,2020-11-27,1290510.0,10023.0,8.152.286,36214.0,195.0,183.571,25.172.902,195.51,159.02,706.396,3.804,3.581,1.08,51265841.0,44.223
Colombia,2020-11-28,1299613.0,9103.0,8.445.714,36401.0,187.0,185.286,25.350.467,177.565,164.744,710.044,3.648,3.614,1.07,51265841.0,44.223
Colombia,2020-11-29,1308376.0,8763.0,8.565.571,36584.0,183.0,185.286,25.521.399,170.933,167.081,713.614,3.57,3.614,1.07,51265841.0,44.223
Colombia,2020-11-30,1316806.0,8430.0,8.832.429,36766.0,182.0,183.857,25.685.836,164.437,172.287,717.164,3.55,3.586,1.07,51265841.0,44.223
Colombia,2020-12-01,1324792.0,7986.0,8.899.714,36934.0,168.0,179.571,25.841.613,155.776,173.599,720.441,3.277,3.503,1.05,51265841.0,44.223
Colombia,2020-12-02,1334089.0,9297.0,9014.0,37117.0,183.0,179.571,26.022.961,181.349,175.829,724.01,3.57,3.503,1.04,51265841.0,44.223
Colombia,2020-12-03,1343322.0,9233.0,8.976.429,37305.0,188.0,183.714,26.203.062,180.1,175.096,727.678,3.667,3.584,1.03,51265841.0,44.223
Colombia,2020-12-04,1352607.0,9285.0,8871.0,37467.0,162.0,179.0,26.384.177,181.115,173.039,730.838,3.16,3.492,1.02,51265841.0,44.223
Colombia,2020-12-05,1362249.0,9642.0,8948.0,37633.0,166.0,176.0,26.572.255,188.078,174.541,734.076,3.238,3.433,1.02,51265841.0,44.223
Colombia,2020-12-06,1371103.0,8854.0,8961.0,37808.0,175.0,174.857,26.744.963,172.708,174.795,737.489,3.414,3.411,1.01,51265841.0,44.223
Colombia,2020-12-07,1377100.0,5997.0,8.613.429,37995.0,187.0,175.571,26.861.941,116.978,168.015,741.137,3.648,3.425,1.0,51265841.0,44.223
Colombia,2020-12-08,1384610.0,7510.0,8.545.429,38158.0,163.0,174.857,27.008.432,146.491,166.689,744.316,3.18,3.411,0.99,51265841.0,44.223
Colombia,2020-12-09,1392133.0,7523.0,8292.0,38308.0,150.0,170.143,27.155.177,146.745,161.745,747.242,2.926,3.319,1.0,51265841.0,44.223
Colombia,2020-12-10,1399911.0,7778.0,8.084.143,38484.0,176.0,168.429,27.306.896,151.719,157.691,750.675,3.433,3.285,1.01,51265841.0,44.223
Colombia,2020-12-11,1408909.0,8998.0,8.043.143,38669.0,185.0,171.714,27.482.413,175.516,156.891,754.284,3.609,3.349,1.04,51265841.0,44.223
Colombia,2020-12-12,1417072.0,8163.0,7.831.857,38866.0,197.0,176.143,27.641.642,159.229,152.77,758.127,3.843,3.436,1.07,51265841.0,44.223
Colombia,2020-12-13,1425774.0,8702.0,7.810.143,39053.0,187.0,177.857,27.811.384,169.743,152.346,761.774,3.648,3.469,1.1,51265841.0,44.223
Colombia,2020-12-14,1434516.0,8742.0,8.202.286,39195.0,142.0,171.429,27.981.907,170.523,159.995,764.544,2.77,3.344,1.14,51265841.0,44.223
Colombia,2020-12-15,1444646.0,10130.0,8.576.571,39356.0,161.0,171.143,28.179.505,197.597,167.296,767.685,3.14,3.338,1.16,51265841.0,44.223
Colombia,2020-12-16,1456599.0,11953.0,9.209.429,39560.0,204.0,178.857,28.412.662,233.157,179.641,771.664,3.979,3.489,1.18,51265841.0,44.223
Colombia,2020-12-17,1468795.0,12196.0,9.840.571,39787.0,227.0,186.143,28.650.559,237.897,191.952,776.092,4.428,3.631,1.19,51265841.0,44.223
Colombia,2020-12-18,1482072.0,13277.0,10.451.857,40019.0,232.0,192.857,28.909.542,258.983,203.876,780.617,4.525,3.762,1.2,51265841.0,44.223
Colombia,2020-12-19,1496062.0,13990.0,11.284.286,40268.0,249.0,200.286,29.182.434,272.891,220.113,785.474,4.857,3.907,1.2,51265841.0,44.223
Colombia,2020-12-20,1507222.0,11160.0,11.635.429,40475.0,207.0,203.143,29.400.122,217.689,226.963,789.512,4.038,3.963,1.19,51265841.0,44.223
Colombia,2020-12-21,1518067.0,10845.0,11.935.857,40680.0,205.0,212.143,29.611.667,211.544,232.823,793.511,3.999,4.138,1.17,51265841.0,44.223
Colombia,2020-12-22,1530593.0,12526.0,12.278.143,40931.0,251.0,225.0,29.856.001,244.334,239.499,798.407,4.896,4.389,1.16,51265841.0,44.223
Colombia,2020-12-23,1544826.0,14233.0,12.603.857,41174.0,243.0,230.571,30.133.632,277.631,245.853,803.147,4.74,4.498,1.14,51265841.0,44.223
Colombia,2020-12-24,1559766.0,14940.0,12.995.857,41454.0,280.0,238.143,30.425.054,291.422,253.499,808.609,5.462,4.645,1.12,51265841.0,44.223
Colombia,2020-12-25,1574707.0,14941.0,13.233.571,41690.0,236.0,238.714,30.716.496,291.442,258.136,813.212,4.603,4.656,1.09,51265841.0,44.223
Colombia,2020-12-26,1584903.0,10196.0,12.691.571,41943.0,253.0,239.286,30.915.381,198.885,247.564,818.147,4.935,4.668,1.06,51265841.0,44.223
Colombia,2020-12-27,1594497.0,9594.0,12.467.857,42171.0,228.0,242.286,31.102.523,187.142,243.2,822.595,4.447,4.726,1.05,51265841.0,44.223
Colombia,2020-12-28,1603807.0,9310.0,12.248.571,42374.0,203.0,242.0,31.284.125,181.602,238.923,826.554,3.96,4.72,1.04,51265841.0,44.223
Colombia,2020-12-29,1614822.0,11015.0,12.032.714,42620.0,246.0,241.286,31.498.986,214.86,234.712,831.353,4.799,4.707,1.04,51265841.0,44.223
Colombia,2020-12-30,1626461.0,11639.0,11.662.143,42909.0,289.0,247.857,31.726.018,227.032,227.484,836.99,5.637,4.835,1.05,51265841.0,44.223
Colombia,2020-12-31,1642775.0,16314.0,11.858.429,43213.0,304.0,251.286,32.044.242,318.224,231.312,842.92,5.93,4.902,1.06,51265841.0,44.223
Colombia,2021-01-01,1654880.0,12105.0,11.453.286,43495.0,282.0,257.857,32.280.364,236.122,223.41,848.421,5.501,5.03,1.06,51265841.0,44.223
Colombia,2021-01-02,1666408.0,11528.0,11.643.571,43765.0,270.0,260.286,32.505.231,224.867,227.121,853.687,5.267,5.077,1.07,51265841.0,44.223
Colombia,2021-01-03,1675820.0,9412.0,11.617.571,43965.0,200.0,256.286,32.688.823,183.592,226.614,857.589,3.901,4.999,1.09,51265841.0,44.223
Colombia,2021-01-04,1686131.0,10311.0,11.760.571,44187.0,222.0,259.0,32.889.951,201.128,229.404,861.919,4.33,5.052,1.12,51265841.0,44.223
Colombia,2021-01-05,1702966.0,16835.0,12592.0,44428.0,241.0,258.286,33.218.337,328.386,245.622,866.62,4.701,5.038,1.15,51265841.0,44.223
Colombia,2021-01-06,1719771.0,16805.0,13330.0,44723.0,295.0,259.143,33.546.138,327.801,260.017,872.374,5.754,5.055,1.17,51265841.0,44.223
Colombia,2021-01-07,1737347.0,17576.0,13.510.286,45067.0,344.0,264.857,33.888.979,342.84,263.534,879.084,6.71,5.166,1.17,51265841.0,44.223
Colombia,2021-01-08,1755568.0,18221.0,14384.0,45431.0,364.0,276.571,34.244.401,355.422,280.577,886.185,7.1,5.395,1.16,51265841.0,44.223
Colombia,2021-01-09,1771363.0,15795.0,14.993.571,45784.0,353.0,288.429,34.552.501,308.1,292.467,893.07,6.886,5.626,1.15,51265841.0,44.223
Colombia,2021-01-10,1786900.0,15537.0,15.868.571,46114.0,330.0,307.0,34.855.568,303.067,309.535,899.507,6.437,5.988,1.14,51265841.0,44.223
Colombia,2021-01-11,1801903.0,15003.0,16.538.857,46451.0,337.0,323.429,35.148.219,292.651,322.61,906.081,6.574,6.309,1.13,51265841.0,44.223
Colombia,2021-01-12,1816082.0,14179.0,16.159.429,46782.0,331.0,336.286,35.424.797,276.578,315.208,912.537,6.457,6.56,1.11,51265841.0,44.223
Colombia,2021-01-13,1831980.0,15898.0,16.029.857,47124.0,342.0,343.0,35.734.906,310.109,312.681,919.209,6.671,6.691,1.11,51265841.0,44.223
Colombia,2021-01-14,1849101.0,17121.0,15.964.857,47491.0,367.0,346.286,36.068.871,333.965,311.413,926.367,7.159,6.755,1.11,51265841.0,44.223
Colombia,2021-01-15,1870179.0,21078.0,16373.0,47868.0,377.0,348.143,36.480.022,411.151,319.374,933.721,7.354,6.791,1.11,51265841.0,44.223
Colombia,2021-01-16,1891034.0,20855.0,17.095.857,48256.0,388.0,353.143,36.886.823,406.801,333.475,941.29,7.568,6.888,1.1,51265841.0,44.223
Colombia,2021-01-17,1908413.0,17379.0,17359.0,48631.0,375.0,359.571,37.225.821,338.998,338.608,948.604,7.315,7.014,1.08,51265841.0,44.223
Colombia,2021-01-18,1923132.0,14719.0,17.318.429,49004.0,373.0,364.714,37.512.932,287.111,337.816,955.88,7.276,7.114,1.04,51265841.0,44.223
Colombia,2021-01-19,1939071.0,15939.0,17.569.857,49402.0,398.0,374.286,37.823.841,310.909,342.721,963.644,7.763,7.301,1.01,51265841.0,44.223
Colombia,2021-01-20,1956979.0,17908.0,17857.0,49792.0,390.0,381.143,38.173.157,349.316,348.322,971.251,7.607,7.435,0.98,51265841.0,44.223
Colombia,2021-01-21,1972345.0,15366.0,17.606.286,50187.0,395.0,385.143,38.472.889,299.732,343.431,978.956,7.705,7.513,0.95,51265841.0,44.223
Colombia,2021-01-22,1987418.0,15073.0,16.748.429,50586.0,399.0,388.286,38.766.905,294.016,326.698,986.739,7.783,7.574,0.93,51265841.0,44.223
Colombia,2021-01-23,2002969.0,15551.0,15.990.714,50982.0,396.0,389.429,39.070.246,303.34,311.918,994.463,7.724,7.596,0.91,51265841.0,44.223
Colombia,2021-01-24,2015485.0,12516.0,15296.0,51374.0,392.0,391.857,39.314.385,244.139,298.366,1002.11,7.646,7.644,0.89,51265841.0,44.223
Colombia,2021-01-25,2027746.0,12261.0,14.944.857,51747.0,373.0,391.857,39553.55,239.165,291.517,1.009.386,7.276,7.644,0.88,51265841.0,44.223
Colombia,2021-01-26,2041352.0,13606.0,14.611.571,52128.0,381.0,389.429,39.818.951,265.401,285.016,1.016.817,7.432,7.596,0.86,51265841.0,44.223
Colombia,2021-01-27,2055305.0,13953.0,14.046.571,52523.0,395.0,390.143,40091.12,272.17,273.995,1.024.522,7.705,7.61,0.83,51265841.0,44.223
Colombia,2021-01-28,2067575.0,12270.0,13.604.286,52913.0,390.0,389.429,40.330.461,239.341,265.367,1032.13,7.607,7.596,0.81,51265841.0,44.223
Colombia,2021-01-29,2077633.0,10058.0,12.887.857,53284.0,371.0,385.429,40.526.654,196.193,251.393,1.039.367,7.237,7.518,0.79,51265841.0,44.223
Colombia,2021-01-30,2086806.0,9173.0,11.976.714,53650.0,366.0,381.143,40.705.584,178.93,233.62,1.046.506,7.139,7.435,0.78,51265841.0,44.223
Colombia,2021-01-31,2094884.0,8078.0,11.342.714,53983.0,333.0,372.714,40.863.155,157.571,221.253,1.053.001,6.496,7.27,0.77,51265841.0,44.223
Colombia,2021-02-01,2104506.0,9622.0,10.965.714,54272.0,289.0,360.714,41.050.843,187.688,213.899,1.058.639,5.637,7.036,0.78,51265841.0,44.223
Colombia,2021-02-02,2114597.0,10091.0,10.463.571,54576.0,304.0,349.714,41247.68,196.837,204.104,1.064.569,5.93,6.822,0.77,51265841.0,44.223
Colombia,2021-02-03,2125622.0,11025.0,10.045.286,54877.0,301.0,336.286,41.462.735,215.055,195.945,1070.44,5.871,6.56,0.76,51265841.0,44.223
Colombia,2021-02-04,2135412.0,9790.0,9691.0,55131.0,254.0,316.857,41.653.701,190.965,189.034,1.075.394,4.955,6.181,0.74,51265841.0,44.223
Colombia,2021-02-05,2142660.0,7248.0,9.289.571,55403.0,272.0,302.714,41.795.081,141.381,181.204,1080.7,5.306,5.905,0.72,51265841.0,44.223
Colombia,2021-02-06,2151207.0,8547.0,9.200.143,55693.0,290.0,291.857,41.961.801,166.719,179.46,1.086.357,5.657,5.693,0.71,51265841.0,44.223
Colombia,2021-02-07,2157216.0,6009.0,8.904.571,55993.0,300.0,287.143,42.079.013,117.213,173.694,1.092.209,5.852,5.601,0.69,51265841.0,44.223
Colombia,2021-02-08,2161462.0,4246.0,8.136.571,56290.0,297.0,288.286,42.161.836,82.823,158.713,1.098.002,5.793,5.623,0.68,51265841.0,44.223
Colombia,2021-02-09,2166904.0,5442.0,7.472.429,56507.0,217.0,275.857,42.267.989,106.153,145.758,1.102.235,4.233,5.381,0.68,51265841.0,44.223
Colombia,2021-02-10,2173347.0,6443.0,6.817.857,56733.0,226.0,265.143,42.393.667,125.678,132.99,1.106.643,4.408,5.172,0.68,51265841.0,44.223
Colombia,2021-02-11,2179641.0,6294.0,6.318.429,56983.0,250.0,264.571,42.516.439,122.772,123.248,1111.52,4.877,5.161,0.68,51265841.0,44.223
Colombia,2021-02-12,2185169.0,5528.0,6.072.714,57196.0,213.0,256.143,42.624.269,107.83,118.455,1.115.675,4.155,4.996,0.69,51265841.0,44.223
Colombia,2021-02-13,2190116.0,4947.0,5.558.429,57425.0,229.0,247.429,42.720.766,96.497,108.424,1.120.142,4.467,4.826,0.69,51265841.0,44.223
Colombia,2021-02-14,2195039.0,4923.0,5.403.286,57605.0,180.0,230.286,42.816.795,96.029,105.397,1.123.653,3.511,4.492,0.7,51265841.0,44.223
Colombia,2021-02-15,2198549.0,3510.0,5.298.143,57786.0,181.0,213.714,42.885.262,68.467,103.346,1.127.183,3.531,4.169,0.71,51265841.0,44.223
Colombia,2021-02-16,2202598.0,4049.0,5.099.143,57949.0,163.0,206.0,42.964.242,78.98,99.465,1.130.363,3.18,4.018,0.72,51265841.0,44.223
Colombia,2021-02-17,2207701.0,5103.0,4.907.714,58134.0,185.0,200.143,43.063.782,99.54,95.731,1.133.971,3.609,3.904,0.73,51265841.0,44.223
Colombia,2021-02-18,2212525.0,4824.0,4.697.714,58334.0,200.0,193.0,43157.88,94.098,91.634,1.137.873,3.901,3.765,0.74,51265841.0,44.223
Colombia,2021-02-19,2217001.0,4476.0,4.547.429,58511.0,177.0,187.857,43.245.189,87.31,88.703,1.141.325,3.453,3.664,0.76,51265841.0,44.223
Colombia,2021-02-20,2222018.0,5017.0,4.557.429,58685.0,174.0,180.0,43.343.052,97.862,88.898,1.144.719,3.394,3.511,0.77,51265841.0,44.223
Colombia,2021-02-21,2226262.0,4244.0,4.460.429,58834.0,149.0,175.571,43.425.836,82.784,87.006,1.147.626,2.906,3.425,0.77,51265841.0,44.223
Colombia,2021-02-22,2229663.0,3401.0,4.444.857,58974.0,140.0,169.714,43.492.176,66.34,86.702,1.150.357,2.731,3.31,0.78,51265841.0,44.223
Colombia,2021-02-23,2233589.0,3926.0,4.427.286,59118.0,144.0,167.0,43.568.758,76.581,86.359,1.153.166,2.809,3.258,0.78,51265841.0,44.223
Colombia,2021-02-24,2237542.0,3953.0,4263.0,59260.0,142.0,160.857,43.645.865,77.108,83.155,1.155.935,2.77,3.138,0.78,51265841.0,44.223
Colombia,2021-02-25,2241225.0,3683.0,4100.0,59396.0,136.0,151.714,43.717.707,71.841,79.975,1.158.588,2.653,2.959,0.79,51265841.0,44.223
