location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,population,population_density
Colombia,2020-07-13,154277.0,3832.0,4.856.571,5455.0,148.0,177.857,3.009.353,74.748,94.733,106.406,2.887,3.469,1.26,51265841.0,44.223
Colombia,2020-07-14,159898.0,5621.0,5.057.714,5625.0,170.0,180.857,3.118.997,109.644,98.657,109.722,3.316,3.528,1.28,51265841.0,44.223
Colombia,2020-07-15,165169.0,5271.0,5.218.714,5814.0,189.0,183.857,3.221.814,102.817,101.797,113.409,3.687,3.586,1.3,51265841.0,44.223
Colombia,2020-07-16,173206.0,8037.0,5.604.714,6029.0,215.0,187.857,3.378.585,156.771,109.326,117.603,4.194,3.664,1.32,51265841.0,44.223
Colombia,2020-07-17,182140.0,8934.0,5.909.143,6288.0,259.0,194.714,3.552.853,174.268,115.265,122.655,5.052,3.798,1.32,51265841.0,44.223
Colombia,2020-07-18,190700.0,8560.0,6.438.286,6516.0,228.0,199.571,3.719.826,166.973,125.586,127.102,4.447,3.893,1.31,51265841.0,44.223
Colombia,2020-07-19,197278.0,6578.0,6.690.429,6736.0,220.0,204.143,3.848.137,128.312,130.505,131.394,4.291,3.982,1.27,51265841.0,44.223
Colombia,2020-07-20,204005.0,6727.0,7104.0,6929.0,193.0,210.571,3.979.355,131.218,138.572,135.158,3.765,4.107,1.25,51265841.0,44.223
Colombia,2020-07-21,211038.0,7033.0,7.305.714,7166.0,237.0,220.143,4.116.542,137.187,142.506,139.781,4.623,4.294,1.22,51265841.0,44.223
Colombia,2020-07-22,218428.0,7390.0,7.608.429,7373.0,207.0,222.714,4.260.693,144.151,148.411,143.819,4.038,4.344,1.2,51265841.0,44.223
Colombia,2020-07-23,226373.0,7945.0,7.595.286,7688.0,315.0,237.0,4.415.669,154.976,148.155,149.963,6.144,4.623,1.19,51265841.0,44.223
Colombia,2020-07-24,233541.0,7168.0,7343.0,7975.0,287.0,241.0,4.555.489,139.82,143.234,155.562,5.598,4.701,1.18,51265841.0,44.223
Colombia,2020-07-25,240795.0,7254.0,7.156.429,8269.0,294.0,250.429,4.696.987,141.498,139.594,161.296,5.735,4.885,1.18,51265841.0,44.223
Colombia,2020-07-26,248976.0,8181.0,7.385.429,8525.0,256.0,255.571,4.856.567,159.58,144.061,166.29,4.994,4.985,1.2,51265841.0,44.223
Colombia,2020-07-27,257101.0,8125.0,7.585.143,8777.0,252.0,264.0,5.015.055,158.488,147.957,171.206,4.916,5.15,1.21,51265841.0,44.223
Colombia,2020-07-28,267385.0,10284.0,8.049.571,9074.0,297.0,272.571,5.215.656,200.601,157.016,176.999,5.793,5.317,1.21,51265841.0,44.223
Colombia,2020-07-29,276055.0,8670.0,8.232.429,9454.0,380.0,297.286,5.384.775,169.118,160.583,184.411,7.412,5.799,1.2,51265841.0,44.223
Colombia,2020-07-30,286020.0,9965.0,8521.0,9810.0,356.0,303.143,5.579.154,194.379,166.212,191.355,6.944,5.913,1.19,51265841.0,44.223
Colombia,2020-07-31,295508.0,9488.0,8.852.429,10105.0,295.0,304.286,5.764.228,185.075,172.677,197.11,5.754,5.935,1.19,51265841.0,44.223
Colombia,2020-08-01,306181.0,10673.0,9.340.857,10330.0,225.0,294.429,5.972.417,208.189,182.204,201.499,4.389,5.743,1.19,51265841.0,44.223
Colombia,2020-08-02,317651.0,11470.0,9.810.714,10650.0,320.0,303.571,6.196.153,223.736,191.369,207.741,6.242,5.922,1.18,51265841.0,44.223
Colombia,2020-08-03,327850.0,10199.0,10107.0,11017.0,367.0,320.0,6.395.096,198.943,197.149,214.899,7.159,6.242,1.16,51265841.0,44.223
Colombia,2020-08-04,334979.0,7129.0,9.656.286,11315.0,298.0,320.143,6.534.156,139.059,188.357,220.712,5.813,6.245,1.13,51265841.0,44.223
Colombia,2020-08-05,345714.0,10735.0,9.951.286,11624.0,309.0,310.0,6.743.555,209.399,194.111,226.74,6.027,6.047,1.13,51265841.0,44.223
Colombia,2020-08-06,357710.0,11996.0,10.241.429,11939.0,315.0,304.143,6.977.551,233.996,199.771,232.884,6.144,5.933,1.12,51265841.0,44.223
Colombia,2020-08-07,367204.0,9494.0,10.242.286,12250.0,311.0,306.429,7.162.742,185.192,199.788,238.951,6.066,5.977,1.11,51265841.0,44.223
Colombia,2020-08-08,376870.0,9666.0,10.098.429,12540.0,290.0,315.714,7.351.289,188.547,196.982,244.607,5.657,6.158,1.11,51265841.0,44.223
Colombia,2020-08-09,387481.0,10611.0,9.975.714,12842.0,302.0,313.143,7.558.269,206.98,194.588,250.498,5.891,6.108,1.11,51265841.0,44.223
Colombia,2020-08-10,397623.0,10142.0,9.967.571,13154.0,312.0,305.286,7756.1,197.832,194.429,256.584,6.086,5.955,1.11,51265841.0,44.223
Colombia,2020-08-11,410453.0,12830.0,10782.0,13475.0,321.0,308.571,8.006.364,250.264,210.315,262.846,6.261,6.019,1.11,51265841.0,44.223
Colombia,2020-08-12,422519.0,12066.0,10.972.143,13837.0,362.0,316.143,8.241.726,235.361,214.024,269.907,7.061,6.167,1.1,51265841.0,44.223
Colombia,2020-08-13,433805.0,11286.0,10.870.714,14145.0,308.0,315.143,8.461.872,220.147,212.046,275.915,6.008,6.147,1.08,51265841.0,44.223
Colombia,2020-08-14,445111.0,11306.0,11.129.571,14492.0,347.0,320.286,8.682.409,220.537,217.095,282.683,6.769,6.248,1.07,51265841.0,44.223
Colombia,2020-08-15,456689.0,11578.0,11.402.714,14810.0,318.0,324.286,8.908.251,225.842,222.423,288.886,6.203,6.326,1.06,51265841.0,44.223
Colombia,2020-08-16,468332.0,11643.0,11.550.143,15097.0,287.0,322.143,9.135.362,227.11,225.299,294.485,5.598,6.284,1.05,51265841.0,44.223
Colombia,2020-08-17,476660.0,8328.0,11291.0,15372.0,275.0,316.857,9.297.809,162.447,220.244,299.849,5.364,6.181,1.03,51265841.0,44.223
Colombia,2020-08-18,489122.0,12462.0,11.238.429,15619.0,247.0,306.286,9.540.895,243.086,219.219,304.667,4.818,5.974,1.03,51265841.0,44.223
