iso_code;continent;location;date;total_cases;new_cases;new_cases_smoothed;total_deaths;new_deaths;new_deaths_smoothed;total_cases_per_million;new_cases_per_million;new_cases_smoothed_per_million;total_deaths_per_million;new_deaths_per_million;new_deaths_smoothed_per_million;reproduction_rate;icu_patients;icu_patients_per_million;hosp_patients;hosp_patients_per_million;weekly_icu_admissions;weekly_icu_admissions_per_million;weekly_hosp_admissions;weekly_hosp_admissions_per_million;total_tests;new_tests;total_tests_per_thousand;new_tests_per_thousand;new_tests_smoothed;new_tests_smoothed_per_thousand;positive_rate;tests_per_case;tests_units;total_vaccinations;people_vaccinated;people_fully_vaccinated;total_boosters;new_vaccinations;new_vaccinations_smoothed;total_vaccinations_per_hundred;people_vaccinated_per_hundred;people_fully_vaccinated_per_hundred;total_boosters_per_hundred;new_vaccinations_smoothed_per_million;new_people_vaccinated_smoothed;new_people_vaccinated_smoothed_per_hundred;stringency_index;population;population_density;median_age;aged_65_older;aged_70_older;gdp_per_capita;extreme_poverty;cardiovasc_death_rate;diabetes_prevalence;female_smokers;male_smokers;handwashing_facilities;hospital_beds_per_thousand;life_expectancy;human_development_index;excess_mortality_cumulative_absolute;excess_mortality_cumulative;excess_mortality;excess_mortality_cumulative_per_million
COL;South America;Colombia;2021-07-11;4511960.0;19423.0;23066.429;112826.0;528.0;561.429;88011.04;378.868;449.938;2200.803;10.299;10.951;0.82;;;;;;;;;20954957.0;90854.0;408.751;1.772;88677.0;1.73;0.274;3.6;tests performed;21641395.0;13568786.0;8992264.0;;1036209.0;339506.0;42.21;26.47;17.54;;6622.0;226624.0;0.442;53.7;51265841.0;44.223;32.2;7.646;4.312;13254.949;4.5;124.24;7.44;4.7;13.5;65.386;1.71;77.29;0.767;142430.4;37.3;93.53;2778.271013
COL;South America;Colombia;2021-07-12;4530610.0;18650.0;22107.0;113335.0;509.0;552.714;88374.83;363.79;431.223;2210.731;9.929;10.781;0.81;;;;;;;;;21009016.0;54059.0;409.805;1.054;89206.0;1.74;0.271;3.7;tests performed;21911121.0;13777447.0;9178479.0;;269726.0;353568.0;42.74;26.87;17.9;;6897.0;241863.0;0.472;53.7;51265841.0;44.223;32.2;7.646;4.312;13254.949;4.5;124.24;7.44;4.7;13.5;65.386;1.71;77.29;0.767;;;;
COL;South America;Colombia;2021-07-13;4548142.0;17532.0;20794.286;113839.0;504.0;545.714;88716.812;341.982;405.617;2220.562;9.831;10.645;0.81;;;;;;;;;21104798.0;95782.0;411.674;1.868;93171.0;1.817;0.261;3.8;tests performed;;;;;;350063.0;;;;;6828.0;247849.0;0.483;53.7;51265841.0;44.223;32.2;7.646;4.312;13254.949;4.5;124.24;7.44;4.7;13.5;65.386;1.71;77.29;0.767;;;;
COL;South America;Colombia;2021-07-14;4565372.0;17230.0;19794.429;114337.0;498.0;537.0;89052.904;336.091;386.113;2230.276;9.714;10.475;0.81;;;;;;;;;21197668.0;92870.0;413.485;1.812;90804.0;1.771;0.253;4.0;tests performed;22624568.0;14324220.0;9631722.0;;;346558.0;44.13;27.94;18.79;;6760.0;253834.0;0.495;53.7;51265841.0;44.223;32.2;7.646;4.312;13254.949;4.5;124.24;7.44;4.7;13.5;65.386;1.71;77.29;0.767;;;;
COL;South America;Colombia;2021-07-15;4583442.0;18070.0;19050.857;114833.0;496.0;525.429;89405.38;352.476;371.609;2239.952;9.675;10.249;0.8;;;;;;;;;21293590.0;95922.0;415.356;1.871;90382.0;1.763;0.249;4.0;tests performed;22942717.0;14563313.0;9876044.0;;318149.0;372650.0;44.75;28.41;19.26;;7269.0;274041.0;0.535;53.7;51265841.0;44.223;32.2;7.646;4.312;13254.949;4.5;124.24;7.44;4.7;13.5;65.386;1.71;77.29;0.767;;;;
COL;South America;Colombia;2021-07-16;4601335.0;17893.0;18530.429;115333.0;500.0;514.571;89754.404;349.024;361.458;2249.705;9.753;10.037;0.8;;;;;;;;;21387556.0;93966.0;417.189;1.833;87208.0;1.701;0.245;4.1;tests performed;;;;;;392117.0;;;;;7649.0;288672.0;0.563;53.7;51265841.0;44.223;32.2;7.646;4.312;13254.949;4.5;124.24;7.44;4.7;13.5;65.386;1.71;77.29;0.767;;;;
COL;South America;Colombia;2021-07-17;4621260.0;19925.0;18389.0;115831.0;498.0;504.714;90143.064;388.66;358.699;2259.419;9.714;9.845;0.8;;;;;;;;;21480339.0;92783.0;418.999;1.81;88034.0;1.717;0.243;4.1;tests performed;23486275.0;14963437.0;10255069.0;;;411584.0;45.81;29.19;20.0;;8028.0;303302.0;0.592;53.7;51265841.0;44.223;32.2;7.646;4.312;13254.949;4.5;124.24;7.44;4.7;13.5;65.386;1.71;77.29;0.767;;;;
COL;South America;Colombia;2021-07-18;4639466.0;18206.0;18215.143;116307.0;476.0;497.286;90498.194;355.129;355.308;2268.704;9.285;9.7;0.79;;;;;;;;;21559706.0;79367.0;420.547;1.548;86393.0;1.685;0.241;4.1;tests performed;23631963.0;15080813.0;10340378.0;;145688.0;284367.0;46.1;29.42;20.17;;5547.0;216004.0;0.421;53.7;51265841.0;44.223;32.2;7.646;4.312;13254.949;4.5;124.24;7.44;4.7;13.5;65.386;1.71;77.29;0.767;146314.5;37.82;78.0;2854.034912
COL;South America;Colombia;2021-07-19;4655921.0;16455.0;17901.571;116753.0;446.0;488.286;90819.167;320.974;349.191;2277.403;8.7;9.525;0.77;;;;;;;;;21602823.0;43117.0;421.388;0.841;84830.0;1.655;0.236;4.2;tests performed;23832572.0;15223093.0;10475982.0;;200609.0;274493.0;46.49;29.69;20.43;;5354.0;206521.0;0.403;53.7;51265841.0;44.223;32.2;7.646;4.312;13254.949;4.5;124.24;7.44;4.7;13.5;65.386;1.71;77.29;0.767;;;;
COL;South America;Colombia;2021-07-20;4668750.0;12829.0;17229.714;117131.0;378.0;470.286;91069.412;250.245;336.086;2284.777;7.373;9.173;0.75;;;;;;;;;21691524.0;88701.0;423.118;1.73;83818.0;1.635;0.231;4.3;tests performed;24000509.0;15345959.0;10556284.0;;167937.0;247524.0;46.82;29.93;20.59;;4828.0;185018.0;0.361;53.7;51265841.0;44.223;32.2;7.646;4.312;13254.949;4.5;124.24;7.44;4.7;13.5;65.386;1.71;77.29;0.767;;;;
COL;South America;Colombia;2021-07-21;4679994.0;11244.0;16374.571;117482.0;351.0;449.286;91288.739;219.327;319.405;2291.623;6.847;8.764;0.73;;;;;;;;;21734323.0;42799.0;423.953;0.835;76665.0;1.495;0.229;4.4;tests performed;;;;;;234797.0;;;;;4580.0;169291.0;0.33;53.7;51265841.0;44.223;32.2;7.646;4.312;13254.949;4.5;124.24;7.44;4.7;13.5;65.386;1.71;77.29;0.767;;;;
COL;South America;Colombia;2021-07-22;4692570.0;12576.0;15589.714;117836.0;354.0;429.0;91534.049;245.31;304.096;2298.529;6.905;8.368;0.72;;;;;;;;;21823553.0;89230.0;425.694;1.741;75709.0;1.477;0.221;4.5;tests performed;24535783.0;15672550.0;10889063.0;;;227581.0;47.86;30.57;21.24;;4439.0;158462.0;0.309;53.7;51265841.0;44.223;32.2;7.646;4.312;13254.949;4.5;124.24;7.44;4.7;13.5;65.386;1.71;77.29;0.767;;;;
COL;South America;Colombia;2021-07-23;4705734.0;13164.0;14914.143;118188.0;352.0;407.857;91790.828;256.779;290.918;2305.395;6.866;7.956;0.72;;;;;;;;;21900388.0;76835.0;427.193;1.499;73262.0;1.429;0.214;4.7;tests performed;24826407.0;15877781.0;11042971.0;;290624.0;230273.0;48.43;30.97;21.54;;4492.0;159201.0;0.311;53.7;51265841.0;44.223;32.2;7.646;4.312;13254.949;4.5;124.24;7.44;4.7;13.5;65.386;1.71;77.29;0.767;;;;
COL;South America;Colombia;2021-07-24;4716798.0;11064.0;13648.286;118538.0;350.0;386.714;92006.644;215.816;266.226;2312.222;6.827;7.543;0.71;;;;;;;;;21968554.0;68166.0;428.522;1.33;69745.0;1.36;0.205;4.9;tests performed;;;;;;229056.0;;;;;4468.0;156956.0;0.306;53.7;51265841.0;44.223;32.2;7.646;4.312;13254.949;4.5;124.24;7.44;4.7;13.5;65.386;1.71;77.29;0.767;;;;
COL;South America;Colombia;2021-07-25;4727846.0;11048.0;12625.714;118868.0;330.0;365.857;92222.148;215.504;246.279;2318.659;6.437;7.136;0.71;;;;;;;;;22045857.0;77303.0;430.03;1.508;69450.0;1.355;0.196;5.1;tests performed;25352932.0;16246476.0;11317608.0;;;245853.0;49.45;31.69;22.08;;4796.0;166523.0;0.325;53.7;51265841.0;44.223;32.2;7.646;4.312;13254.949;4.5;124.24;7.44;4.7;13.5;65.386;1.71;77.29;0.767;149169.8;38.08;58.53;2909.730867
COL;South America;Colombia;2021-07-26;4736349.0;8503.0;11489.714;119182.0;314.0;347.0;92388.009;165.861;224.12;2324.784;6.125;6.769;0.71;;;;;;;;;22084283.0;38426.0;430.78;0.75;68780.0;1.342;0.194;5.2;tests performed;25641086.0;16455361.0;11457631.0;;288154.0;258359.0;50.02;32.1;22.35;;5040.0;176038.0;0.343;46.3;51265841.0;44.223;32.2;7.646;4.312;13254.949;4.5;124.24;7.44;4.7;13.5;65.386;1.71;77.29;0.767;;;;
COL;South America;Colombia;2021-07-27;4747775.0;11426.0;11289.286;119482.0;300.0;335.857;92610.887;222.877;220.211;2330.636;5.852;6.551;0.72;;;;;;;;;22164433.0;80150.0;432.343;1.563;67558.0;1.318;0.186;5.4;tests performed;;;;;;273342.0;;;;;5332.0;182721.0;0.356;46.3;51265841.0;44.223;32.2;7.646;4.312;13254.949;4.5;124.24;7.44;4.7;13.5;65.386;1.71;77.29;0.767;;;;
COL;South America;Colombia;2021-07-28;4757139.0;9364.0;11020.714;119801.0;319.0;331.286;92793.543;182.656;214.972;2336.858;6.222;6.462;0.71;;;;;;;;;22229593.0;65160.0;433.614;1.271;70753.0;1.38;0.179;5.6;tests performed;26186714.0;16794653.0;11759641.0;;;274081.0;51.08;32.76;22.94;;5346.0;183628.0;0.358;46.3;51265841.0;44.223;32.2;7.646;4.312;13254.949;4.5;124.24;7.44;4.7;13.5;65.386;1.71;77.29;0.767;;;;
COL;South America;Colombia;2021-07-29;4766829.0;9690.0;10608.429;120126.0;325.0;327.143;92982.557;189.015;206.93;2343.198;6.34;6.381;0.71;;;;;;;;;22319051.0;89458.0;435.359;1.745;70785.0;1.381;0.172;5.8;tests performed;26515327.0;17032633.0;11892153.0;;328613.0;282792.0;51.72;33.22;23.2;;5516.0;194298.0;0.379;46.3;51265841.0;44.223;32.2;7.646;4.312;13254.949;4.5;124.24;7.44;4.7;13.5;65.386;1.71;77.29;0.767;;;;
